Ime_automobila,Godiste,Prodajna_cena,Sadasnja_cena,Kilometraza,Tip_goriva,Tip_prodavca,Tip_prenosa,Broj_Vlasnika
Ritz,2014,3.35,5.59,27000,Benzin,AutoKuca,Manuelni,0
sx4,2013,4.75,9.54,43000,Dizel,AutoKuca,Manuelni,0
Ciaz,2017,7.25,9.85,6900,Benzin,AutoKuca,Manuelni,0
Wagon R,2011,2.85,4.15,5200,Benzin,AutoKuca,Manuelni,0
Swift,2014,4.6,6.87,42450,Dizel,AutoKuca,Manuelni,0
Vitara Brezza,2018,9.25,9.83,2071,Dizel,AutoKuca,Manuelni,0
Ciaz,2015,6.75,8.12,18796,Benzin,AutoKuca,Manuelni,0
S Cross,2015,6.5,8.61,33429,Dizel,AutoKuca,Manuelni,0
Ciaz,2016,8.75,8.89,20273,Dizel,AutoKuca,Manuelni,0
Ciaz,2015,7.45,8.92,42367,Dizel,AutoKuca,Manuelni,0
Alto 800,2017,2.85,3.6,2135,Benzin,AutoKuca,Manuelni,0
Ciaz,2015,6.85,10.38,51000,Dizel,AutoKuca,Manuelni,0
Ciaz,2015,7.5,9.94,15000,Benzin,AutoKuca,Automatik,0
Ertiga,2015,6.1,7.71,26000,Benzin,AutoKuca,Manuelni,0
Dzire,2009,2.25,7.21,77427,Benzin,AutoKuca,Manuelni,0
Ertiga,2016,7.75,10.79,43000,Dizel,AutoKuca,Manuelni,0
Ertiga,2015,7.25,10.79,41678,Dizel,AutoKuca,Manuelni,0
Ertiga,2016,7.75,10.79,43000,Dizel,AutoKuca,Manuelni,0
Wagon R,2015,3.25,5.09,35500,Gas,AutoKuca,Manuelni,0
sx4,2010,2.65,7.98,41442,Benzin,AutoKuca,Manuelni,0
Alto k10,2016,2.85,3.95,25000,Benzin,AutoKuca,Manuelni,0
Ignis,2017,4.9,5.71,2400,Benzin,AutoKuca,Manuelni,0
sx4,2011,4.4,8.01,50000,Benzin,AutoKuca,Automatik,0
Alto k10,2014,2.5,3.46,45280,Benzin,AutoKuca,Manuelni,0
Wagon R,2013,2.9,4.41,56879,Benzin,AutoKuca,Manuelni,0
Swift,2011,3,4.99,20000,Benzin,AutoKuca,Manuelni,0
Swift,2013,4.15,5.87,55138,Benzin,AutoKuca,Manuelni,0
Swift,2017,6,6.49,16200,Benzin,Prodavac,Manuelni,0
Alto k10,2010,1.95,3.95,44542,Benzin,AutoKuca,Manuelni,0
Ciaz,2015,7.45,10.38,45000,Dizel,AutoKuca,Manuelni,0
Ritz,2012,3.1,5.98,51439,Dizel,AutoKuca,Manuelni,0
Ritz,2011,2.35,4.89,54200,Benzin,AutoKuca,Manuelni,0
Swift,2014,4.95,7.49,39000,Dizel,AutoKuca,Manuelni,0
Ertiga,2014,6,9.95,45000,Dizel,AutoKuca,Manuelni,0
Dzire,2014,5.5,8.06,45000,Dizel,AutoKuca,Manuelni,0
sx4,2011,2.95,7.74,49998,Gas,AutoKuca,Manuelni,0
Dzire,2015,4.65,7.2,48767,Benzin,AutoKuca,Manuelni,0
Alto 800,2003,0.35,2.28,127000,Benzin,Prodavac,Manuelni,0
Alto k10,2016,3,3.76,10079,Benzin,AutoKuca,Manuelni,0
sx4,2003,2.25,7.98,62000,Benzin,AutoKuca,Manuelni,0
baleno,2016,5.85,7.87,24524,Benzin,AutoKuca,Automatik,0
Alto k10,2014,2.55,3.98,46706,Benzin,AutoKuca,Manuelni,0
sx4,2008,1.95,7.15,58000,Benzin,AutoKuca,Manuelni,0
Dzire,2014,5.5,8.06,45780,Dizel,AutoKuca,Manuelni,0
Omni,2012,1.25,2.69,50000,Benzin,AutoKuca,Manuelni,0
Ciaz,2014,7.5,12.04,15000,Benzin,AutoKuca,Automatik,0
Ritz,2013,2.65,4.89,64532,Benzin,AutoKuca,Manuelni,0
Wagon R,2006,1.05,4.15,65000,Benzin,AutoKuca,Manuelni,0
Ertiga,2015,5.8,7.71,25870,Benzin,AutoKuca,Manuelni,0
Ciaz,2017,7.75,9.29,37000,Benzin,AutoKuca,Automatik,0
Fortuner,2012,14.9,30.61,104707,Dizel,AutoKuca,Automatik,0
Fortuner,2015,23,30.61,40000,Dizel,AutoKuca,Automatik,0
Innova,2017,18,19.77,15000,Dizel,AutoKuca,Automatik,0
Fortuner,2013,16,30.61,135000,Dizel,Prodavac,Automatik,0
Innova,2005,2.75,10.21,90000,Benzin,Prodavac,Manuelni,0
Corolla Altis,2009,3.6,15.04,70000,Benzin,AutoKuca,Automatik,0
Etios Cross,2015,4.5,7.27,40534,Benzin,AutoKuca,Manuelni,0
Corolla Altis,2010,4.75,18.54,50000,Benzin,AutoKuca,Manuelni,0
Etios G,2014,4.1,6.8,39485,Benzin,AutoKuca,Manuelni,1
Fortuner,2014,19.99,35.96,41000,Dizel,AutoKuca,Automatik,0
Corolla Altis,2013,6.95,18.61,40001,Benzin,AutoKuca,Manuelni,0
Etios Cross,2015,4.5,7.7,40588,Benzin,AutoKuca,Manuelni,0
Fortuner,2014,18.75,35.96,78000,Dizel,AutoKuca,Automatik,0
Fortuner,2015,23.5,35.96,47000,Dizel,AutoKuca,Automatik,0
Fortuner,2017,33,36.23,6000,Dizel,AutoKuca,Automatik,0
Etios Liva,2014,4.75,6.95,45000,Dizel,AutoKuca,Manuelni,0
Innova,2017,19.75,23.15,11000,Benzin,AutoKuca,Automatik,0
Fortuner,2010,9.25,20.45,59000,Dizel,AutoKuca,Manuelni,0
Corolla Altis,2011,4.35,13.74,88000,Benzin,AutoKuca,Manuelni,0
Corolla Altis,2016,14.25,20.91,12000,Benzin,AutoKuca,Manuelni,0
Etios Liva,2014,3.95,6.76,71000,Dizel,AutoKuca,Manuelni,0
Corolla Altis,2011,4.5,12.48,45000,Dizel,AutoKuca,Manuelni,0
Corolla Altis,2013,7.45,18.61,56001,Benzin,AutoKuca,Manuelni,0
Etios Liva,2011,2.65,5.71,43000,Benzin,AutoKuca,Manuelni,0
Etios Cross,2014,4.9,8.93,83000,Dizel,AutoKuca,Manuelni,0
Etios G,2015,3.95,6.8,36000,Benzin,AutoKuca,Manuelni,0
Corolla Altis,2013,5.5,14.68,72000,Benzin,AutoKuca,Manuelni,0
Corolla,2004,1.5,12.35,135154,Benzin,AutoKuca,Automatik,0
Corolla Altis,2010,5.25,22.83,80000,Benzin,AutoKuca,Automatik,0
Fortuner,2012,14.5,30.61,89000,Dizel,AutoKuca,Automatik,0
Corolla Altis,2016,14.73,14.89,23000,Dizel,AutoKuca,Manuelni,0
Etios Gd,2015,4.75,7.85,40000,Dizel,AutoKuca,Manuelni,0
Innova,2017,23,25.39,15000,Dizel,AutoKuca,Automatik,0
Innova,2015,12.5,13.46,38000,Dizel,AutoKuca,Manuelni,0
Innova,2005,3.49,13.46,197176,Dizel,AutoKuca,Manuelni,0
Camry,2006,2.5,23.73,142000,Benzin,Prodavac,Automatik,3
Land Cruiser,2010,35,92.6,78000,Dizel,AutoKuca,Manuelni,0
Corolla Altis,2012,5.9,13.74,56000,Benzin,AutoKuca,Manuelni,0
Etios Liva,2013,3.45,6.05,47000,Benzin,AutoKuca,Manuelni,0
Etios G,2014,4.75,6.76,40000,Benzin,AutoKuca,Manuelni,0
Corolla Altis,2009,3.8,18.61,62000,Benzin,AutoKuca,Manuelni,0
Innova,2014,11.25,16.09,58242,Dizel,AutoKuca,Manuelni,0
Innova,2005,3.51,13.7,75000,Benzin,AutoKuca,Manuelni,0
Fortuner,2015,23,30.61,40000,Dizel,AutoKuca,Automatik,0
Corolla Altis,2008,4,22.78,89000,Benzin,AutoKuca,Automatik,0
Corolla Altis,2012,5.85,18.61,72000,Benzin,AutoKuca,Manuelni,0
Innova,2016,20.75,25.39,29000,Dizel,AutoKuca,Automatik,0
Corolla Altis,2017,17,18.64,8700,Benzin,AutoKuca,Manuelni,0
Corolla Altis,2013,7.05,18.61,45000,Benzin,AutoKuca,Manuelni,0
Fortuner,2010,9.65,20.45,50024,Dizel,AutoKuca,Manuelni,0
Royal Enfield Thunder 500,2016,1.75,1.9,3000,Benzin,Prodavac,Manuelni,0
UM Renegade Mojave,2017,1.7,1.82,1400,Benzin,Prodavac,Manuelni,0
KTM RC200,2017,1.65,1.78,4000,Benzin,Prodavac,Manuelni,0
Bajaj Dominar 400,2017,1.45,1.6,1200,Benzin,Prodavac,Manuelni,0
Royal Enfield Classic 350,2017,1.35,1.47,4100,Benzin,Prodavac,Manuelni,0
KTM RC390,2015,1.35,2.37,21700,Benzin,Prodavac,Manuelni,0
Hyosung GT250R,2014,1.35,3.45,16500,Benzin,Prodavac,Manuelni,1
Royal Enfield Thunder 350,2013,1.25,1.5,15000,Benzin,Prodavac,Manuelni,0
Royal Enfield Thunder 350,2016,1.2,1.5,18000,Benzin,Prodavac,Manuelni,0
Royal Enfield Classic 350,2017,1.2,1.47,11000,Benzin,Prodavac,Manuelni,0
KTM RC200,2016,1.2,1.78,6000,Benzin,Prodavac,Manuelni,0
Royal Enfield Thunder 350,2016,1.15,1.5,8700,Benzin,Prodavac,Manuelni,0
KTM 390 Duke ,2014,1.15,2.4,7000,Benzin,Prodavac,Manuelni,0
Mahindra Mojo XT300,2016,1.15,1.4,35000,Benzin,Prodavac,Manuelni,0
Royal Enfield Classic 350,2015,1.15,1.47,17000,Benzin,Prodavac,Manuelni,0
Royal Enfield Classic 350,2015,1.11,1.47,17500,Benzin,Prodavac,Manuelni,0
