Ime_automobila,Godiste,Prodajna_cena,Sadasnja_cena,Kilometraza,Tip_goriva,Tip_prodavca,Tip_prenosa,Broj_Vlasnika
Ritz,2014,4020,6708,27000,Benzin,AutoKuca,Manuelni,0
sx4,2013,5700,11448,43000,Dizel,AutoKuca,Manuelni,0
Ciaz,2017,8700,11820,6900,Benzin,AutoKuca,Manuelni,0
Wagon R,2011,3420,4980,5200,Benzin,AutoKuca,Manuelni,0
Swift,2014,5520,8244,42450,Dizel,AutoKuca,Manuelni,0
Vitara Brezza,2018,11100,11796,2071,Dizel,AutoKuca,Manuelni,0
Ciaz,2015,8100,9744,18796,Benzin,AutoKuca,Manuelni,0
S Cross,2015,7800,10332,33429,Dizel,AutoKuca,Manuelni,0
Ciaz,2016,10500,10668,20273,Dizel,AutoKuca,Manuelni,0
Ciaz,2015,8940,10704,42367,Dizel,AutoKuca,Manuelni,0
Alto 800,2017,3420,4320,2135,Benzin,AutoKuca,Manuelni,0
Ciaz,2015,8220,12456,51000,Dizel,AutoKuca,Manuelni,0
Ciaz,2015,9000,11928,15000,Benzin,AutoKuca,Automatik,0
Ertiga,2015,7320,9252,26000,Benzin,AutoKuca,Manuelni,0
Dzire,2009,2700,8652,77427,Benzin,AutoKuca,Manuelni,0
Ertiga,2016,9300,12948,43000,Dizel,AutoKuca,Manuelni,0
Ertiga,2015,8700,12948,41678,Dizel,AutoKuca,Manuelni,0
Ertiga,2016,9300,12948,43000,Dizel,AutoKuca,Manuelni,0
Wagon R,2015,3900,6108,35500,Gas,AutoKuca,Manuelni,0
sx4,2010,3180,9576,41442,Benzin,AutoKuca,Manuelni,0
Alto k10,2016,3420,4740,25000,Benzin,AutoKuca,Manuelni,0
Ignis,2017,5880,6852,2400,Benzin,AutoKuca,Manuelni,0
sx4,2011,5280,9612,50000,Benzin,AutoKuca,Automatik,0
Alto k10,2014,3000,4152,45280,Benzin,AutoKuca,Manuelni,0
Wagon R,2013,3480,5292,56879,Benzin,AutoKuca,Manuelni,0
Swift,2011,3600,5988,20000,Benzin,AutoKuca,Manuelni,0
Swift,2013,4980,7044,55138,Benzin,AutoKuca,Manuelni,0
Swift,2017,7200,7788,16200,Benzin,Prodavac,Manuelni,0
Alto k10,2010,2340,4740,44542,Benzin,AutoKuca,Manuelni,0
Ciaz,2015,8940,12456,45000,Dizel,AutoKuca,Manuelni,0
Ritz,2012,3720,7176,51439,Dizel,AutoKuca,Manuelni,0
Ritz,2011,2820,5868,54200,Benzin,AutoKuca,Manuelni,0
Swift,2014,5940,8988,39000,Dizel,AutoKuca,Manuelni,0
Ertiga,2014,7200,11940,45000,Dizel,AutoKuca,Manuelni,0
Dzire,2014,6600,9672,45000,Dizel,AutoKuca,Manuelni,0
sx4,2011,3540,9288,49998,Gas,AutoKuca,Manuelni,0
Dzire,2015,5580,8640,48767,Benzin,AutoKuca,Manuelni,0
Alto 800,2003,420,2736,127000,Benzin,Prodavac,Manuelni,0
Alto k10,2016,3600,4512,10079,Benzin,AutoKuca,Manuelni,0
sx4,2003,2700,9576,62000,Benzin,AutoKuca,Manuelni,0
baleno,2016,7020,9444,24524,Benzin,AutoKuca,Automatik,0
Alto k10,2014,3060,4776,46706,Benzin,AutoKuca,Manuelni,0
sx4,2008,2340,8580,58000,Benzin,AutoKuca,Manuelni,0
Dzire,2014,6600,9672,45780,Dizel,AutoKuca,Manuelni,0
Omni,2012,1500,3228,50000,Benzin,AutoKuca,Manuelni,0
Ciaz,2014,9000,14448,15000,Benzin,AutoKuca,Automatik,0
Ritz,2013,3180,5868,64532,Benzin,AutoKuca,Manuelni,0
Wagon R,2006,1260,4980,65000,Benzin,AutoKuca,Manuelni,0
Ertiga,2015,6960,9252,25870,Benzin,AutoKuca,Manuelni,0
Ciaz,2017,9300,11148,37000,Benzin,AutoKuca,Automatik,0
Fortuner,2012,17880,36732,104707,Dizel,AutoKuca,Automatik,0
Fortuner,2015,27600,36732,40000,Dizel,AutoKuca,Automatik,0
Innova,2017,21600,23724,15000,Dizel,AutoKuca,Automatik,0
Fortuner,2013,19200,36732,135000,Dizel,Prodavac,Automatik,0
Innova,2005,3300,12252,90000,Benzin,Prodavac,Manuelni,0
Corolla Altis,2009,4320,18048,70000,Benzin,AutoKuca,Automatik,0
Etios Cross,2015,5400,8724,40534,Benzin,AutoKuca,Manuelni,0
Corolla Altis,2010,5700,22248,50000,Benzin,AutoKuca,Manuelni,0
Etios G,2014,4920,8160,39485,Benzin,AutoKuca,Manuelni,1
Fortuner,2014,23988,43152,41000,Dizel,AutoKuca,Automatik,0
Corolla Altis,2013,8340,22332,40001,Benzin,AutoKuca,Manuelni,0
Etios Cross,2015,5400,9240,40588,Benzin,AutoKuca,Manuelni,0
Fortuner,2014,22500,43152,78000,Dizel,AutoKuca,Automatik,0
Fortuner,2015,28200,43152,47000,Dizel,AutoKuca,Automatik,0
Fortuner,2017,39600,43476,6000,Dizel,AutoKuca,Automatik,0
Etios Liva,2014,5700,8340,45000,Dizel,AutoKuca,Manuelni,0
Innova,2017,23700,27780,11000,Benzin,AutoKuca,Automatik,0
Fortuner,2010,11100,24540,59000,Dizel,AutoKuca,Manuelni,0
Corolla Altis,2011,5220,16488,88000,Benzin,AutoKuca,Manuelni,0
Corolla Altis,2016,17100,25092,12000,Benzin,AutoKuca,Manuelni,0
Etios Liva,2014,4740,8112,71000,Dizel,AutoKuca,Manuelni,0
Corolla Altis,2011,5400,14976,45000,Dizel,AutoKuca,Manuelni,0
Corolla Altis,2013,8940,22332,56001,Benzin,AutoKuca,Manuelni,0
